"s.1","s.2","index","stat","p.value","Genus","Group","Space_Mean_RA","Terr_Mean_RA"
0,1,2,1,0.001,"KF-JG30-C25","Terrestrial_Soil",0,0.336586251690159
0,1,2,0.670820393249937,0.001,"Kouleothrix","Terrestrial_Soil",0,0.0117574882551776
0,1,2,0.705911229594642,0.001,"Kribbella","Terrestrial_Soil",5.47130282566906e-05,0.0161389365634144
0,1,2,0.948683298050514,0.001,"Ktedonobacter","Terrestrial_Soil",0,0.0544405699260741
0,1,2,0.806225774829855,0.001,"Latescibacteraceae","Terrestrial_Soil",0,0.0141817918839442
0,1,2,0.948683298050514,0.001,"Latescibacterota","Terrestrial_Soil",0,0.525600630787168
1,0,1,0.679900103650085,0.012,"Lawsonella","Space_Flight",0.480815330015271,0
0,1,2,0.921954445729289,0.001,"Lineage_IIa","Terrestrial_Soil",0,0.0322543585093483
0,1,2,0.921954445729289,0.001,"Lineage_IIb","Terrestrial_Soil",0,0.0286991022863019
0,1,2,0.948683298050514,0.001,"Longimicrobiaceae","Terrestrial_Soil",0,0.0431774645850576
0,1,2,0.88164505854124,0.001,"Luteimonas","Terrestrial_Soil",0.0183140546257733,0.0824279913630818
0,1,2,0.632455532033676,0.001,"Luteitalea","Terrestrial_Soil",0,0.0134823410671396
0,1,2,1,0.001,"LWQ8","Terrestrial_Soil",0,0.350126379379171
0,1,2,0.9994838018697,0.001,"Lysobacter","Terrestrial_Soil",0.000252288584589722,0.244182650284362
0,1,2,0.436673925072686,0.003,"Marmoricola","Terrestrial_Soil",0.00033445554443268,0.00684587376263254
1,0,1,0.633449623644227,0.032,"Massilia","Space_Flight",1.10474958656747,0.0121195069533902
0,1,2,0.921954445729289,0.001,"MB-A2-108","Terrestrial_Soil",0,0.0589104839825993
0,1,2,0.948683298050514,0.001,"MBNT15","Terrestrial_Soil",0,0.514679001297479
1,0,1,0.783075696960269,0.001,"Meiothermus","Space_Flight",0.481144071676126,0
1,0,1,0.811903621318722,0.003,"Mesorhizobium","Space_Flight",2.06353007566231,0.180918053994014
1,0,1,0.910511071939967,0.001,"Methylobacterium-Methylorubrum","Space_Flight",2.48879404851264,0.00347718041789282
0,1,2,0.632455532033676,0.001,"Microgenomatia","Terrestrial_Soil",0,0.00370710496032699
0,1,2,0.663518683753097,0.001,"Micromonospora","Terrestrial_Soil",0.000564352549887809,0.0255015189735538
0,1,2,0.974679434480896,0.001,"Micropepsis","Terrestrial_Soil",0,0.0713857806586319
0,1,2,1,0.001,"Mizugakiibacter","Terrestrial_Soil",0,0.561637104239993
0,1,2,0.907970392099738,0.001,"mle1-27","Terrestrial_Soil",0.00108045895898791,0.0348085005856053
0,1,2,0.948683298050514,0.001,"mle1-7","Terrestrial_Soil",0,0.172492204412742
0,1,2,0.774596669241483,0.001,"mle1-8","Terrestrial_Soil",0,0.0109971388614199
0,1,2,1,0.001,"MND1","Terrestrial_Soil",0,0.53482452012032
1,0,1,0.841087142494944,0.001,"Mucilaginibacter","Space_Flight",0.539115313486066,0.00728055517425701
0,1,2,0.707106781186548,0.001,"MVP-88","Terrestrial_Soil",0,0.00504571569818751
0,1,2,0.585714536207209,0.001,"Nakamurella","Terrestrial_Soil",0.00120686389917302,0.00727150682782431
0,1,2,0.670820393249937,0.001,"Nannocystis","Terrestrial_Soil",0,0.0111445503341316
0,1,2,0.948683298050514,0.001,"NB1-j","Terrestrial_Soil",0,0.160236707410118
0,1,2,0.894427190999916,0.001,"Neochlamydia","Terrestrial_Soil",0,0.00881594611522765
1,0,1,0.692930072995438,0.009,"Nevskia","Space_Flight",0.142197702181663,0.000290225214766659
0,1,2,0.555296781196228,0.001,"Niastella","Terrestrial_Soil",0.00285862622685463,0.00961826222349523
0,1,2,1,0.001,"Nitrolancea","Terrestrial_Soil",0,0.158805656798874
0,1,2,0.974679434480896,0.001,"Nitrosospira","Terrestrial_Soil",0,0.148732951842439
0,1,2,0.974679434480896,0.001,"Nitrospira","Terrestrial_Soil",0,0.539022819382869
0,1,2,0.974679434480896,0.001,"Nocardia","Terrestrial_Soil",0,0.0749343858542092
0,1,2,0.954955738315737,0.001,"Nocardioides","Terrestrial_Soil",0.0499965854722634,0.51776230457521
0,1,2,0.704176052661566,0.001,"Nordella","Terrestrial_Soil",0.000179721905512287,0.0215463578026236
1,0,1,0.946692355041668,0.001,"Novosphingobium","Space_Flight",3.95381560613257,0
0,1,2,1,0.001,"OLB14","Terrestrial_Soil",0,0.209225455800925
0,1,2,0.948683298050514,0.001,"OM190","Terrestrial_Soil",0,0.070397168602833
0,1,2,0.894427190999916,0.001,"OM27_clade","Terrestrial_Soil",0,0.0218484478617749
0,1,2,0.670820393249937,0.001,"OM60(NOR5)_clade","Terrestrial_Soil",0,0.00344185696860941
0,1,2,0.591607978309962,0.001,"Opitutus","Terrestrial_Soil",0,0.0121717850620633
0,1,2,0.921954445729289,0.001,"P2-11E","Terrestrial_Soil",0,0.0325955251434057
0,1,2,0.921954445729289,0.001,"P3OB-42","Terrestrial_Soil",0,0.0239544224594485
0,1,2,0.887702045435831,0.001,"Pajaroellobacter","Terrestrial_Soil",0.0103540062738403,0.131630250931559
0,1,2,0.591607978309962,0.001,"Panacagrimonas","Terrestrial_Soil",0,0.00318313304761188
0,1,2,0.806225774829855,0.001,"Parcubacteria","Terrestrial_Soil",0,0.0133550399383872
0,1,2,0.836660026534076,0.001,"PAUC26f","Terrestrial_Soil",0,0.0140424188435409
0,1,2,0.632455532033676,0.001,"PB19","Terrestrial_Soil",0,0.0047230449939348
0,1,2,0.994736694069831,0.001,"Pedosphaeraceae","Terrestrial_Soil",0.00184487991802455,0.173876219793924
0,1,2,1,0.001,"PeM15","Terrestrial_Soil",0,0.387508102116523
0,1,2,0.773766388768334,0.001,"Phaselicystis","Terrestrial_Soil",8.80696897971642e-05,0.0410155521961133
1,0,1,0.777028689885811,0.001,"Phreatobacter","Space_Flight",0.0822054578949199,0
0,1,2,0.741619848709566,0.001,"Pir4_lineage","Terrestrial_Soil",0,0.00713515770099153
0,1,2,0.945663318413246,0.001,"Pirellula","Terrestrial_Soil",0.000464178422758854,0.0725595488936665
0,1,2,0.806225774829855,0.001,"Pla1_lineage","Terrestrial_Soil",0,0.0137100702753561
0,1,2,0.806225774829855,0.001,"Pla4_lineage","Terrestrial_Soil",0,0.0232728216898693
0,1,2,0.741619848709566,0.001,"PLTA13","Terrestrial_Soil",0,0.0108210792683758
0,1,2,0.806225774829855,0.001,"Polycyclovorans","Terrestrial_Soil",0,0.042191844580533
1,0,1,0.806810632197181,0.001,"Procabacter","Space_Flight",0.185068862258368,0
0,1,2,0.741619848709566,0.001,"Pseudogulbenkiania","Terrestrial_Soil",0,0.0231737939903422
1,0,1,0.901423655884515,0.001,"Pseudomonas","Space_Flight",12.4680371735931,0.125669503608646
0,1,2,0.665773586975101,0.001,"Pseudonocardia","Terrestrial_Soil",0.00157008768583697,0.00651969574622146
1,0,1,0.835531691527718,0.001,"Puia","Space_Flight",5.93069802128547,0
0,1,2,0.591607978309962,0.001,"Pullulanibacillus","Terrestrial_Soil",0,0.157329863523781
1,0,1,0.828741498931856,0.002,"Ralstonia","Space_Flight",1.85802384087806,0.18370108567964
0,1,2,0.921954445729289,0.001,"Ramlibacter","Terrestrial_Soil",0,0.0645731187153485
0,1,2,0.948683298050514,0.001,"RB41","Terrestrial_Soil",0,0.172614345100453
0,1,2,0.974679434480896,0.001,"RBG-13-54-9","Terrestrial_Soil",0,0.322340533684917
0,1,2,0.670820393249937,0.001,"RBG-16-58-14","Terrestrial_Soil",0,0.00349627610177072
0,1,2,0.974679434480896,0.001,"RCP2-54","Terrestrial_Soil",0,0.189233863905897
0,1,2,0.990713232261161,0.001,"Rhodanobacter","Terrestrial_Soil",0.0443119254904442,2.3525738311852
0,1,2,0.866025403784439,0.001,"Rhodanobacteraceae","Terrestrial_Soil",0,1.02572658185366
0,1,2,0.741619848709566,0.001,"Rhodomicrobium","Terrestrial_Soil",0,0.0176331407199237
0,1,2,0.974679434480896,0.001,"Rokubacteriales","Terrestrial_Soil",0,1.17161357821811
0,1,2,0.894427190999916,0.001,"Roseiarcus","Terrestrial_Soil",0,0.0329800588321413
0,1,2,0.912772848961662,0.001,"Roseisolibacter","Terrestrial_Soil",0.00121300917684764,0.059992888875663
0,1,2,0.485682485091319,0.001,"Rubrobacter","Terrestrial_Soil",0.000346782696425968,0.00579639028239949
0,1,2,0.806225774829855,0.001,"S-BQ2-57_soil_group","Terrestrial_Soil",0,0.013814922064073
0,1,2,0.948683298050514,0.001,"S0134_terrestrial_group","Terrestrial_Soil",0,0.0759606153424361
0,1,2,0.974679434480896,0.001,"S085","Terrestrial_Soil",0,0.132083827310536
0,1,2,0.670820393249937,0.001,"Saccharimonadaceae","Terrestrial_Soil",0,0.017226330072905
0,1,2,1,0.001,"Saccharimonadales","Terrestrial_Soil",0,0.164587952882441
0,1,2,0.806225774829855,0.001,"Sandaracinus","Terrestrial_Soil",0,0.0170749235246188
0,1,2,0.774596669241483,0.001,"SAR324_clade(Marine_group_B)","Terrestrial_Soil",0,0.0133918682434838
0,1,2,0.741619848709566,0.001,"SBR1031","Terrestrial_Soil",0,0.0120983643995599
0,1,2,1,0.001,"SC-I-84","Terrestrial_Soil",0,2.24159253100113
0,1,2,0.866025403784439,0.001,"Sericytochromatia","Terrestrial_Soil",0,0.0158048910363188
0,1,2,0.948683298050514,0.001,"Sh765B-TzT-35","Terrestrial_Soil",0,0.145619378208574
1,0,1,0.700404195972475,0.003,"Singulisphaera","Space_Flight",0.0603403756381694,0
0,1,2,0.806225774829855,0.001,"SJA-15","Terrestrial_Soil",0,0.0336427546375936
0,1,2,0.774596669241483,0.001,"SJA-28","Terrestrial_Soil",0,0.0115532236558648
0,1,2,0.921954445729289,0.001,"SM1A02","Terrestrial_Soil",0,0.0645102357963882
0,1,2,0.866025403784439,0.001,"SM2D12","Terrestrial_Soil",0,0.0388019450394909
0,1,2,0.632455532033676,0.001,"Smaragdicoccus","Terrestrial_Soil",0,0.00627460946022206
0,1,2,0.834700853830515,0.001,"Solirubrobacter","Terrestrial_Soil",0.000392961721589397,0.0836120764714053
0,1,2,0.670820393249937,0.001,"Sphaerobacter","Terrestrial_Soil",0,0.00392690608068249
1,0,1,0.981355354110117,0.001,"Sphingomonas","Space_Flight",11.9740307603423,0.10742134105
0,1,2,0.866025403784439,0.001,"Spirochaeta","Terrestrial_Soil",0,0.0165719393128787
1,0,1,0.764240018483414,0.002,"Spirosoma","Space_Flight",0.210920442852521,0.000304376940402995
1,0,1,0.758057562828346,0.008,"Staphylococcus","Space_Flight",1.77623156909149,0.00253592561284869
0,1,2,0.620948812224667,0.001,"Stenotrophomonas","Terrestrial_Soil",0.0372861123669711,0.0543701059373918
0,1,2,0.937617918476572,0.001,"Steroidobacter","Terrestrial_Soil",0.00129969958372479,0.0547415910293774
0,1,2,0.999803891928212,0.001,"Streptomyces","Terrestrial_Soil",0.000234353302995473,0.597334840047749
0,1,2,0.948683298050514,0.001,"Subgroup_10","Terrestrial_Soil",0,0.188100265617728
0,1,2,0.866025403784439,0.001,"Subgroup_11","Terrestrial_Soil",0,0.0262292352990998
0,1,2,0.632455532033676,0.001,"Subgroup_12","Terrestrial_Soil",0,0.00574208656110397
0,1,2,1,0.001,"Subgroup_13","Terrestrial_Soil",0,0.277404766676126
0,1,2,0.948683298050514,0.001,"Subgroup_17","Terrestrial_Soil",0,0.168975301602505
0,1,2,0.921954445729289,0.001,"Subgroup_18","Terrestrial_Soil",0,0.108989564065464
0,1,2,0.999463500127326,0.001,"Subgroup_2","Terrestrial_Soil",0.000428975363024151,0.399469038010085
0,1,2,0.948683298050514,0.001,"Subgroup_22","Terrestrial_Soil",0,0.138600441809944
0,1,2,0.948683298050514,0.001,"Subgroup_25","Terrestrial_Soil",0,0.0852259034988041
0,1,2,0.974679434480896,0.001,"Subgroup_5","Terrestrial_Soil",0,0.0819394145493056
0,1,2,0.974679434480896,0.001,"Subgroup_7","Terrestrial_Soil",0,0.67970971444712
0,1,2,0.948683298050514,0.001,"Sulfurifustis","Terrestrial_Soil",0,0.0385908588433113
0,1,2,0.806225774829855,0.001,"Sumerlaea","Terrestrial_Soil",0,0.0174602139034873
0,1,2,0.921954445729289,0.001,"Sva0485","Terrestrial_Soil",0,0.121099347894893
0,1,2,0.670820393249937,0.001,"Sva0996_marine_group","Terrestrial_Soil",0,0.0272852513190439
0,1,2,0.921954445729289,0.001,"SWB02","Terrestrial_Soil",0,0.0557663068740105
0,1,2,0.670820393249937,0.001,"Syntrophorhabdus","Terrestrial_Soil",0,0.00798278365828628
0,1,2,0.77447152787092,0.001,"Taibaiella","Terrestrial_Soil",1.27448947456495e-05,0.0394344438988637
1,0,1,0.846747383861014,0.001,"Terriglobus","Space_Flight",0.833087646617258,0
0,1,2,0.432602081438486,0.005,"Terrimicrobium","Terrestrial_Soil",0.0019905344233656,0.00330083949344552
0,1,2,0.974679434480896,0.001,"TK10","Terrestrial_Soil",0,0.185306124605759
0,1,2,1,0.001,"TM7","Terrestrial_Soil",0,0.0953345339097061
0,1,2,0.670820393249937,0.001,"TM7a","Terrestrial_Soil",0,0.0144940164425015
0,1,2,1,0.001,"TRA3-20","Terrestrial_Soil",0,0.497817793444572
0,1,2,0.894427190999916,0.001,"Tuberibacillus","Terrestrial_Soil",0,0.471196785290647
0,1,2,1,0.001,"Tumebacillus","Terrestrial_Soil",0,0.173059828546291
0,1,2,0.969389453668533,0.001,"uncultured","Terrestrial_Soil",0.775906783213357,12.0949322778055
0,1,2,0.836660026534076,0.001,"vadinHA49","Terrestrial_Soil",0,0.0175992264004461
0,1,2,0.974679434480896,0.001,"Vermiphilaceae","Terrestrial_Soil",0,0.032998592546555
0,1,2,0.974629593819131,0.001,"Vicinamibacteraceae","Terrestrial_Soil",9.14814703602321e-05,0.894433033699649
0,1,2,1,0.001,"WD2101_soil_group","Terrestrial_Soil",0,0.665614750530925
0,1,2,0.957149910163375,0.001,"WPS-2","Terrestrial_Soil",0.00766465504813011,0.0837291554842853
0,1,2,0.806225774829855,0.001,"WS2","Terrestrial_Soil",0,0.0188108606605815
0,1,2,1,0.001,"WWH38","Terrestrial_Soil",0,0.187772993617008
0,1,2,0.894427190999916,0.001,"WX65","Terrestrial_Soil",0,0.0214690952868311
