,Study_Group,N-Fixation,P-Solubilization,IAA/Phytohormone,Biocontrol,ACC-Deaminase,Total_PGP
Q3_Fruit1_S13_L001,Space_Flight,0.0,10.922330097087379,32.03883495145631,10.922330097087379,10.922330097087379,32.03883495145631
Q3_Fruit2_S14_L001,Space_Flight,0.0,27.54491017964072,52.09580838323353,27.54491017964072,27.54491017964072,52.09580838323353
Q3_Fruit3_S15_L001,Space_Flight,4.597701149425287,45.593869731800766,62.8352490421456,45.593869731800766,45.593869731800766,67.43295019157088
Q3_Leaf_S3_L001,Space_Flight,0.0,2.715915263443781,45.02987506789788,2.715915263443781,2.715915263443781,45.02987506789788
Q3_Seed1_S16_L001,Space_Flight,0.0,0.0,30.0,2.857142857142857,0.0,32.857142857142854
Q3_Seed2_S17_L001,Space_Flight,5.376344086021505,12.903225806451612,39.784946236559136,7.526881720430108,5.376344086021505,52.68817204301075
Q3_Seed3_S18_L001,Space_Flight,7.518796992481203,7.518796992481203,53.383458646616546,0.0,7.518796992481203,60.902255639097746
Q3-1-Swab5_S5_L001,Space_Flight,0.01998173098881023,41.43283283854761,41.53345512674126,41.461378168531624,41.42855103905001,41.577700388216485
Q3-1-Swab6_S6_L001,Space_Flight,0.20511790693671467,72.8312008721097,72.8455447816857,72.8312008721097,73.03631877904643,73.05066268862242
Q3-Arcillite1_S14_L001,Space_Flight,20.285182648696843,1.6694879117187198,29.69155823179005,1.6694879117187198,20.325886107844784,33.56097119745701
Q3-Arcillite2_S15_L001,Space_Flight,25.139571277795977,2.8627579430068786,29.844597299559634,2.8627579430068786,25.14903373730757,34.48047457873858
Q3-Arcillite3_S16_L001,Space_Flight,41.32124418091085,20.667475543326514,29.066255121052283,20.667475543326514,41.345104350165755,51.753214777059725
Q3-Arcillite4_S17_L001,Space_Flight,31.278078693950484,13.64427816499231,27.00732520775061,13.64427816499231,31.278078693950484,42.15522536562584
Q3-Foam1_S5_L001,Space_Flight,9.455856986043594,17.92065234436255,24.735769170456326,17.92065234436255,23.99247294966285,29.40881292143641
Q3-Foam2_S6_L001,Space_Flight,9.39829092778206,0.7308532510922642,19.712156258031357,0.7308532510922642,9.481817013621177,22.59219994859933
Q3-Foam3_S7_L001,Space_Flight,13.6671930097278,0.2994428399617106,36.02968247604866,0.2994428399617106,13.740826494964287,37.895882251875605
Q3-Rhizosphere_S13_L001,Space_Flight,30.493643070161667,10.134089736977824,29.066417023566608,10.134089736977824,30.493643070161667,41.225306634975446
Q3-Root1_S9_L001,Space_Flight,17.28781614785992,7.596668287937743,33.548151750972764,7.596668287937743,17.549246108949415,41.567363813229576
Q3-Root2_S10_L001,Space_Flight,25.03896783589137,5.20689929801008,28.340709726599385,5.203486056910106,25.072531373374442,36.164427201256075
Q3-Root3_S11_L001,Space_Flight,21.695007055402726,2.9882124887754955,29.01195855129064,2.9882124887754955,21.73206573639875,33.72054903861229
Q3-Root4_S12_L001,Space_Flight,30.38141417226634,14.335961362248016,22.805150427611487,14.335961362248016,30.41863927916921,38.686908216249236
Q3-Stem_S8_L001,Space_Flight,1.717693129227483,85.67995728017088,87.16625133499466,85.67995728017088,86.82805268778925,87.73584905660377
Q3-Water_S18_L001,Space_Flight,33.42281879194631,9.261744966442953,36.10738255033557,9.261744966442953,33.42281879194631,47.51677852348993
Q3-Wick1_S1_L001,Space_Flight,1.6841147018661813,91.12158290717288,92.42817746124393,90.98771051433773,91.45358644140406,93.78564352459234
Q3-Wick2_S2_L001,Space_Flight,0.6296016858755886,92.22493951140828,92.75047480292426,92.22493951140828,92.81551629939901,92.98982750995134
Q3-Wick3_S3_L001,Space_Flight,1.8601763849644661,84.02474526928675,84.7611096840483,84.02474526928675,85.59380083911293,86.07329394639952
Q3-Wick4_S4_L001,Space_Flight,7.769929364278506,63.372855701311806,64.76791120080726,63.32744702320888,66.26387487386478,70.98890010090817
Q4_Fruit1_S19_L001,Space_Flight,0.6741573033707865,2.4269662921348316,59.10112359550561,3.50561797752809,3.101123595505618,60.853932584269664
Q4_Fruit2_S20_L001,Space_Flight,0.0,28.947368421052634,75.78947368421053,28.947368421052634,28.947368421052634,75.78947368421053
Q4_Fruit3_S21_L001,Space_Flight,6.340649467334103,1.0653317930945962,8.099088692080606,0.38505968425105896,1.1166730843280708,9.010396611474778
Q4_Leaf_S4_L001,Space_Flight,0.0,1.6898608349900597,47.813121272365805,1.6898608349900597,0.0,47.813121272365805
Q4_Seed1_S22_L001,Space_Flight,24.50980392156863,19.28104575163399,29.73856209150327,19.28104575163399,26.143790849673206,47.38562091503268
Q4_Seed2_S23_L001,Space_Flight,0.0,0.0,43.689320388349515,0.0,0.0,43.689320388349515
Q4_Seed3_S24_L001,Space_Flight,0.0,0.702887537993921,70.30775075987842,0.702887537993921,0.702887537993921,70.30775075987842
Q4-1-Swab7_S7_L001,Space_Flight,1.1176658163265305,95.93431122448979,95.85937499999999,95.93431122448979,96.39030612244898,96.91804846938774
Q4-1-Swab8_S8_L001,Space_Flight,8.279555865900354,57.035320477896875,72.97365735376492,57.035320477896875,28.0499689228904,78.69414752802693
Q4-Arcillite1_S32_L001,Space_Flight,21.347789255971044,3.224528862338691,31.0010231360771,3.224528862338691,21.35659042652673,36.52155736712983
Q4-Arcillite2_S33_L001,Space_Flight,15.906090495530723,3.1331197497540426,21.938565290145725,3.1331197497540426,15.906090495530723,28.98598252650875
Q4-Arcillite3_S34_L001,Space_Flight,22.07876520567733,7.198097819471382,19.639364749608447,7.198097819471382,22.086880310321604,29.076419940435137
Q4-Arcillite4_S35_L001,Space_Flight,17.821385909387587,1.608314963732867,20.290506508380233,1.605852000541852,17.821385909387587,23.393840129059274
Q4-Foam1_S23_L001,Space_Flight,20.529599631239297,11.99624654286843,48.24591729224286,11.99624654286843,20.541946529698404,62.80537995522191
Q4-Foam2_S24_L001,Space_Flight,8.435470806166759,0.5384625599213885,20.36331283944388,0.5384625599213885,8.440118448484206,21.328694543667922
Q4-Foam3_S25_L001,Space_Flight,10.53415941930811,0.2516817866801453,21.67381415149889,0.2516817866801453,10.53415941930811,25.272915809055334
Q4-Rhizosphere_S31_L001,Space_Flight,32.68950710886243,24.544717522182353,31.113846892969207,24.544717522182353,32.68950710886243,58.588436650802464
