sample-id	spaceflight	sample_type	location	sanitization	description
Q4-Stem	Space_Flight	stem	Q4	Not Applicable	stem from Q4
SanSeed1	Space_Flight	seed	Not Applicable	Sanitized	seed from Not Applicable
SanSeed2	Space_Flight	seed	Not Applicable	Sanitized	seed from Not Applicable
SanSeed3	Space_Flight	seed	Not Applicable	Sanitized	seed from Not Applicable
UnsanSeed1	Ground_Control	seed	Not Applicable	Unsanitized	seed from Not Applicable
UnsanSeed2	Ground_Control	seed	Not Applicable	Unsanitized	seed from Not Applicable
UnsanSeed3	Ground_Control	seed	Not Applicable	Unsanitized	seed from Not Applicable
Q1-Arcillite1	Space_Flight	Arcillite	Q1	Not Applicable	Arcillite from Q1
Q1-Arcillite2	Space_Flight	Arcillite	Q1	Not Applicable	Arcillite from Q1
Q1-Arcillite3	Space_Flight	Arcillite	Q1	Not Applicable	Arcillite from Q1
Q1-Arcillite4	Space_Flight	Arcillite	Q1	Not Applicable	Arcillite from Q1
Q1-Rhizosphere	Space_Flight	Rhizosphere	Q1	Not Applicable	Rhizosphere from Q1
Q1-Root2	Space_Flight	Plant Roots	Q1	Not Applicable	Plant Roots from Q1
Q1-Root3	Space_Flight	Plant Roots	Q1	Not Applicable	Plant Roots from Q1
Q1-Root4	Space_Flight	Plant Roots	Q1	Not Applicable	Plant Roots from Q1
Q1-RSJ-Root1	Space_Flight	Plant Roots	Q1	Not Applicable	Plant Roots from Q1
Q2-Arcillite1	Space_Flight	Arcillite	Q2	Not Applicable	Arcillite from Q2
Q2-Arcillite2	Space_Flight	Arcillite	Q2	Not Applicable	Arcillite from Q2
Q2-Arcillite3	Space_Flight	Arcillite	Q2	Not Applicable	Arcillite from Q2
Q2-Arcillite4	Space_Flight	Arcillite	Q2	Not Applicable	Arcillite from Q2
Q2-Rhizosphere	Space_Flight	Rhizosphere	Q2	Not Applicable	Rhizosphere from Q2
Q2-Root2	Space_Flight	Plant Roots	Q2	Not Applicable	Plant Roots from Q2
Q2-Root3	Space_Flight	Plant Roots	Q2	Not Applicable	Plant Roots from Q2
Q2-Root4	Space_Flight	Plant Roots	Q2	Not Applicable	Plant Roots from Q2
Q2-RSJ-Root1	Space_Flight	Plant Roots	Q2	Not Applicable	Plant Roots from Q2
Q2-Water	Space_Flight	Water	Q2	Not Applicable	Water from Q2
Q3-Arcillite1	Space_Flight	Arcillite	Q3	Not Applicable	Arcillite from Q3
Q3-Arcillite2	Space_Flight	Arcillite	Q3	Not Applicable	Arcillite from Q3
Q3-Arcillite3	Space_Flight	Arcillite	Q3	Not Applicable	Arcillite from Q3
Q3-Arcillite4	Space_Flight	Arcillite	Q3	Not Applicable	Arcillite from Q3
Q3-Rhizosphere	Space_Flight	Rhizosphere	Q3	Not Applicable	Rhizosphere from Q3
Q3-Root1	Space_Flight	Plant Roots	Q3	Not Applicable	Plant Roots from Q3
Q3-Root2	Space_Flight	Plant Roots	Q3	Not Applicable	Plant Roots from Q3
Q3-Root3	Space_Flight	Plant Roots	Q3	Not Applicable	Plant Roots from Q3
Q3-Root4	Space_Flight	Plant Roots	Q3	Not Applicable	Plant Roots from Q3
Q3-Water	Space_Flight	Water	Q3	Not Applicable	Water from Q3
Q4-Arcillite1	Space_Flight	Arcillite	Q4	Not Applicable	Arcillite from Q4
Q4-Arcillite2	Space_Flight	Arcillite	Q4	Not Applicable	Arcillite from Q4
Q4-Arcillite3	Space_Flight	Arcillite	Q4	Not Applicable	Arcillite from Q4
