id,(Intercept),Study_GroupTerrestrial_Soil
Subgroup_17,0.04164928239880628,0.24716150458241332
Subgroup_18,0.04164928239880626,0.2610759207497779
Subgroup_2,0.05755601524115739,0.13606594677289854
Subgroup_22,0.041649282398806255,0.26810995231780027
Subgroup_25,0.041649282398806275,0.21293284934289497
Subgroup_5,0.041649282398806275,0.16444836592567116
Subgroup_7,0.041649282398806275,0.23116841197422178
Sulfurifustis,0.04164928239880627,0.18480711740906733
Sumerlaea,0.04164928239880628,0.2704563830527258
Sva0485,0.041649282398806275,0.2783399553410625
TK10,0.04164928239880626,0.17489569316238415
TM7,0.04164928239880628,0.1720167705349289
TRA3-20,0.04164928239880627,0.13026924431039966
Taibaiella,0.042213962030149765,0.43997852173814067
Terriglobus,0.2853878496900733,0.3103257155271758
Thermus,0.10107223414122894,0.15833957648367372
Tuberibacillus,0.04164928239880629,0.4962670685743604
Tumebacillus,0.04164928239880627,0.235959602111397
Vermiphilaceae,0.041649282398806275,0.1445991610217953
Vicinamibacteraceae,0.04914434144774488,0.2581244265535937
WD2101_soil_group,0.041649282398806275,0.07040592217048602
WPS-2,0.13441906227563916,0.2081601974828743
WS2,0.041649282398806275,0.22210276432500714
WWH38,0.04164928239880626,0.11343090578281147
WX65,0.04164928239880626,0.20442506786371903
YC-ZSS-LKJ147,0.041649282398806255,0.3386847049761179
bacteriap25,0.0473878659981725,0.1912042334989453
cvE6,0.049777131053574425,0.14390061628194825
env.OPS_17,0.30574966373981993,0.3953386766659632
mle1-27,0.06675964547582978,0.21131193739697335
mle1-7,0.041649282398806275,0.24586115475296966
uncultured,0.2384854878429707,0.2411954206739668
vadinHA49,0.04164928239880626,0.21627699204830075
